iter	Passed	Remaining
0	1	156
1	3	170
2	5	170
3	6	167
4	8	169
5	11	175
6	12	168
7	14	171
8	17	178
9	19	171
10	21	175
11	23	175
12	26	174
13	28	178
14	31	177
15	33	175
16	35	173
17	37	172
18	40	171
19	43	175
20	44	169
21	46	164
22	47	159
23	48	154
24	49	149
25	51	146
26	52	142
27	54	140
28	55	136
29	57	133
30	59	133
31	61	131
32	63	129
33	65	126
34	67	124
35	68	122
36	71	121
37	73	119
38	74	117
39	76	114
40	78	112
41	79	109
42	80	107
43	82	104
44	83	102
45	84	98
46	85	96
47	86	93
48	87	91
49	89	89
50	90	86
51	91	84
52	92	81
53	93	79
54	94	77
55	96	75
56	97	73
57	98	71
58	100	69
59	101	67
60	102	65
61	103	63
62	104	61
63	105	59
64	106	57
65	107	55
66	108	53
67	109	51
68	110	49
69	111	47
70	112	45
71	113	44
72	114	42
73	115	40
74	117	39
75	118	37
76	119	35
77	120	33
78	121	32
79	123	30
80	124	29
81	125	27
82	126	25
83	127	24
84	129	22
85	130	21
86	131	19
87	132	18
88	133	16
89	134	14
90	135	13
91	136	11
92	138	10
93	139	8
94	140	7
95	142	5
96	143	4
97	144	2
98	145	1
99	146	0
